Profit and Loss - YTD 2025 (Jan-Nov),,,,,,,,,,,,
And Company (Spicy Cubes),,,,,,,,,,,,
"January 1, 2025 - November 30, 2025",,,,,,,,,,,,

Distribution account,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,August 2025,September 2025,October 2025,November 2025,Total
Income,,,,,,,,,,,,
4000 Sales,"72,486.71","123,973.27","81,056.40","157,407.15","291,994.58","346,414.83","286,922.67","210,052.74","198,865.08","294,307.45","598,732.40","2,662,213.28"
4010 Discounts,"-6,932.28","-13,825.25","-9,565.44","-19,579.35","-37,112.78","-47,015.69","-53,229.06","-32,955.84","-26,522.65","-38,933.34","-143,321.35","-428,993.03"
4020 Refunds,"-7,185.57","-2,615.87","-1,723.52","-2,750.51","-23,793.02","-48,327.59","-46,411.30","-12,632.22","-8,591.81","-11,943.99","-19,982.96","-185,958.36"
4030 Shipping Income,"6,174.00","12,147.10","7,207.90","13,783.70","21,535.50","25,705.40","20,129.20","15,969.10","16,635.50","25,193.63","39,659.04","204,140.07"
4040 Chargebacks,-819.79,-98.87,-118.46,-99.27,"-1,546.86","-1,252.12","-6,151.24","-1,898.63",-105.74,-858.33,-843.35,"-13,792.66"
Total for Income,"63,723.07","119,580.38","76,856.88","148,761.72","251,077.42","275,524.83","201,260.27","178,535.15","180,280.38","267,765.42","474,243.78","$2,237,609.30"
Cost of Goods Sold,,,,,,,,,,,,
5000 Cost of Goods Sold,"9,640.20","16,864.96","11,004.09","21,388.44","39,264.75","46,999.16","37,845.55","27,494.81","26,629.53","40,372.76","85,199.62","362,703.87"
5010 Inbound Freight & Shipping,,,,,,"20,000.00",,,,,,"20,000.00"
5030 Inventory Adjustment,,,,,,"-23,877.06",,,,,,"-23,877.06"
5040 Inventory Shrinkage,,,,,,490.00,,,,,,490.00
5050 COGS - Other,,,,,"2,340.17",,515.38,,,,,"2,855.55"
Total for Cost of Goods Sold,"9,640.20","16,864.96","11,004.09","21,388.44","41,604.92","43,612.10","38,360.93","27,494.81","26,629.53","40,372.76","85,199.62","$362,172.36"
Gross Profit,"54,082.87","102,715.42","65,852.79","127,373.28","209,472.50","231,912.73","162,899.34","151,040.34","153,650.85","227,392.66","389,044.16","$1,875,436.94"
Expenses,,,,,,,,,,,,
6000 Cost of Sales,,,,,,,,,,,,
6010 Outbound Shipping & Delivery,"8,157.44","14,116.25","9,153.38","17,753.20","32,514.37","38,590.42","31,842.56","23,439.41","22,348.31","29,956.63","65,943.65","293,815.62"
6020 3PL Expense,96.69,"25,841.83","7,502.98","3,606.17","6,816.60",294.21,"21,762.00","32,375.00",,"26,773.88","18,425.10","143,494.46"
6055 Amazon Seller Fees,39.99,39.99,39.99,79.98,,,3.47,,,,8.47,211.89
6065 Shopify Merchant Fees,817.98,"1,554.27",586.39,"1,689.98","2,500.74","1,991.56","1,073.64","2,631.63","3,896.27","5,732.19","9,601.20","32,075.85"
6070 Shopify Selling Apps,996.25,"1,778.64","1,443.63","2,444.26","3,986.79","4,108.23","3,740.51","1,198.42",,,,"19,696.73"
6075 Other Merchant Processing Fees,"2,942.59","3,609.54","4,292.59","3,594.57","6,191.81","13,258.80","10,539.51","9,103.68","5,990.84","7,745.16","7,629.28","74,898.37"
Total for 6000 Cost of Sales,"13,050.94","46,940.52","23,018.96","29,168.16","52,010.31","58,243.22","68,961.69","68,748.14","32,235.42","70,207.86","101,607.70","$564,192.92"
6100 Advertising & Marketing,719.00,69.00,119.00,719.00,,,,30.00,162.38,"7,188.00","25,569.00","34,575.38"
6110 Paid Advertising,,,,,,70.53,"1,358.00","1,651.19","9,066.77","7,581.98","13,464.36","33,192.83"
6120 Affiliate Marketing Expense,"18,554.36","28,241.94","23,641.44","37,824.09","52,153.22","53,178.95","52,001.01","44,885.98","38,024.35","55,416.26","75,674.79","479,596.39"
6130 Marketing Contractors and Agencies,236.90,945.00,"2,000.00",345.88,"14,580.00","7,000.00","18,520.46","7,000.00","2,500.00","9,442.78","15,452.69","78,023.71"
6140 Advertising Software & Apps,280.73,601.57,505.67,379.66,"3,501.70","4,079.22","7,655.75","8,058.30","9,040.22","9,087.80","9,201.28","52,391.90"
6150 Other Adv & Marketing Expense,,,,,,,,"1,100.00",,,,"1,100.00"
Total for 6100 Advertising & Marketing,"19,790.99","29,857.51","26,266.11","39,268.63","70,234.92","64,328.70","79,535.22","62,725.47","58,793.72","88,716.82","139,362.12","$678,880.21"
6210 Bank Charges & Fees,25.00,125.00,140.00,75.00,222.49,12.11,326.86,240.59,436.39,108.29,516.25,"2,227.98"
6240 Contractors,"2,197.99",847.00,650.00,735.00,"1,270.00","1,570.00","2,900.00","3,664.00","3,097.44","3,444.00","4,360.00","24,735.43"
6250 Dues & Subscriptions,,,,,,,,,50.00,50.00,50.00,150.00
6260 Education & Training,,,,,,,,,,"1,337.00","1,349.00","2,686.00"
6290 Insurance,,,,187.25,,,,,,,,187.25
6300 Legal & Professional Services,68.00,84.50,598.00,116.00,"3,108.50","12,040.00","13,083.00",124.70,146.00,137.00,146.00,"29,651.70"
6320 Professional Expenses,,895.20,,,,"3,087.50","3,087.50","3,537.00","4,375.00","1,287.50",,"16,269.70"
