Transaction Detail by Account,,,,,,,,,
And Company (Spicy Cubes),,,,,,,,,
"January 1-December 3, 2025",,,,,,,,,

,Transaction date,Transaction type,Num,Name,Class full name,Memo/Description,Account full name,Amount,Balance
1000 CHASE CHECKING (1906),,,,,,,,,
,01/01/2025,Deposit,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:241231 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX6648995 EED:250102 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX8995 TC,1060 Maverick Holding,"1,439.26","1,439.26"
,01/01/2025,Expense,,Venmo,,ORIG CO NAME:VENMO ORIG ID:XXXXXX1992 DESC DATE:241231 CO ENTRY DESCR:PAYMENT SEC:WEB TRACE#:XXXXXXXX6737415 EED:250102 IND ID:XXXXXXXX71089 IND NAME:ROBERTO NO EL TRN: XXXXXX7415 TC,6100 Advertising & Marketing:6120 Affiliate Marketing Expense,-73.33,"1,365.93"
,01/01/2025,Expense,,Pamela Abigail,,Zelle payment to Pamela Abigail NEW JPM99atz16m0,6100 Advertising & Marketing:6120 Affiliate Marketing Expense,-403.98,961.95
,01/01/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:241231 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX6648991 EED:250102 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX8991 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-14.40,947.55
,01/01/2025,Expense,,Venmo,,ORIG CO NAME:VENMO ORIG ID:XXXXXX1992 DESC DATE:241231 CO ENTRY DESCR:PAYMENT SEC:WEB TRACE#:XXXXXXXX6737318 EED:250102 IND ID:XXXXXXXX81659 IND NAME:ROBERTO NO EL TRN: XXXXXX7318 TC,6100 Advertising & Marketing:6120 Affiliate Marketing Expense,-132.62,814.93
,01/02/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:241231 CO ENTRY DESCR:MERCH FEESSEC:CCD TRACE#:XXXXXXXX6079143 EED:250102 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX9143 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,"-2,214.93","-1,400.00"
,01/02/2025,Expense,,AUTHNET GATEWAY,,ORIG CO NAME:AUTHNET GATEWAY ORIG ID:XXXXXX8569 DESC DATE: CO ENTRY DESCR:BILLING SEC:CCD TRACE#:XXXXXXXX1316152 EED:250102 IND ID:139662608 IND NAME:& COMPANY LLC TRN: XXXXXX6152 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-144.75,"-1,544.75"
,01/03/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250102 CO ENTRY DESCR:MERCH CHBKSEC:CCD TRACE#:XXXXXXXX8246060 EED:250103 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX6060 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-29.49,"-1,574.24"
,01/03/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250102 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX8246016 EED:250103 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX6016 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-17.23,"-1,591.47"
,01/03/2025,Deposit,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250102 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX8246265 EED:250103 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX6265 TC,1060 Maverick Holding,"1,723.37",131.90
,01/04/2025,Deposit,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250103 CO ENTRY DESCR:MERCH DEP SEC:CCD TRACE#:XXXXXXXX9209252 EED:250106 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES SPICY CUBES TRN: XXXXXX9252 TC,1060 Maverick Holding,720.24,852.14
,01/04/2025,Expense,,M MERCHANT,,ORIG CO NAME:M MERCHANT ORIG ID:XXXXXX2108 DESC DATE:250103 CO ENTRY DESCR:DLY DISC SSEC:CCD TRACE#:XXXXXXXX9209213 EED:250106 IND ID:XXXXXXXX0041582 IND NAME:S PICY CUBES TRN: XXXXXX9213 TC,6000 Cost of Sales:6075 Other Merchant Processing Fees,-10.67,841.47
